,Ticker_x,year,EBITDA,Total Debt,Free Cash Flow,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,"Earnings Per Share, Basic","Earnings Per Share, Diluted",Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Pietroski F-Score,Economic growth: the rate of change of real GDP,GDP per capita current U.S. dollars,Inflation: percent change in the Consumer Price Index,Unemployment rate,Net portfolio equity inflows,Economic growth forecast,Inflation forecast,Unemployment rate forecast,Political stability index (-2.5 weak; 2.5 strong),Interest rates on bank credit to the private sector,Open,profit/loss
0,AAL,2010,1275000000.0,11136000000.0,-378000000.0,0.23031,0.01389,-0.02124,0.11939,-0.01877,0.80255,0.78842,-7.35944,0.44388,-1.41441,-1.41441,66.57658,-11.84685,-1.13514,5.0,2.56,48466.66,1.6,9.63,178952.99,2.71,1.69,9.61,0.44,3.25,9.29,0.0
1,AAL,2011,49000000.0,8220000000.0,-1067000000.0,0.18237,-0.04325,-0.08253,0.2783,-0.08298,0.53916,0.78297,-4.35368,0.34468,-15.8339,-15.8339,191.85502,-56.89483,-8.53702,5.0,1.55,49882.56,3.2,8.95,123357.0,1.55,3.09,8.93,0.59,3.25,5.44,-0.4144
2,AAL,2012,1163000000.0,8535000000.0,-1039000000.0,0.20563,0.00595,-0.07548,0.23488,-0.0798,0.55384,0.78482,-3.94353,0.36304,-7.51934,-7.51934,99.62323,-32.01331,-4.1645,6.0,2.25,51602.93,2.1,8.07,239066.01,2.28,1.82,8.08,0.63,3.25,10.35,0.1141
3,AAL,2013,2419000000.0,16799000000.0,-1297000000.0,0.25943,0.05231,-0.06858,0.67155,-0.04338,0.7072,1.03745,-16.48078,0.39735,-6.54502,-6.54502,95.43811,-9.74616,-4.62862,5.0,1.84,53106.54,1.5,7.38,-62642.0,1.84,1.32,7.36,0.64,3.25,18.98,1.0431
4,AAL,2014,5762000000.0,17720000000.0,-565000000.0,0.2815,0.09962,0.06757,1.42603,0.06667,-0.19604,0.8766,20.38793,0.40995,4.01697,3.92634,59.44615,2.8169,-0.7875,6.0,2.53,55049.99,1.6,6.17,154312.0,2.29,0.52,6.16,0.58,3.25,34.72,2.7374
5,AAL,2015,7813000000.0,20561000000.0,-1431000000.0,0.35099,0.15135,0.18566,1.35049,0.15718,-0.18804,0.73392,7.59184,0.42468,11.38552,11.07143,61.3262,8.43067,-2.14096,5.0,3.08,56863.37,0.1,5.28,-187306.0,2.71,0.7,5.28,0.68,3.26,38.5,3.1442
6,AAL,2016,7102000000.0,24344000000.0,3371000000.0,0.33265,0.13151,0.0666,0.707,0.05219,1.25972,0.74423,12.54663,0.47478,4.84512,4.81209,72.74926,6.85306,6.10348,5.0,1.71,58021.4,1.3,4.87,-139700.99,1.67,2.18,4.88,0.4,3.51,36.46,2.9247
7,AAL,2017,6248000000.0,25065000000.0,2616000000.0,0.30576,0.09927,0.03008,-1.64359,0.02429,2.04056,0.59552,-68.67308,0.47485,2.6208,2.60732,87.13233,-1.59456,5.3479,6.0,2.33,60109.66,2.1,4.36,149634.01,2.26,2.17,4.35,0.29,4.1,47.52,4.1152
8,AAL,2018,4815000000.0,24473000000.0,2183000000.0,0.542,0.05963,0.0317,-8.35503,0.02331,1.54603,0.47729,-359.46154,0.40398,3.04156,3.03226,95.94474,-0.36404,4.70235,6.0,3.0,63064.42,2.4,3.9,156916.01,2.92,1.91,3.89,0.42,4.9,41.41,3.4575
9,AAL,2019,5383000000.0,24315000000.0,1972000000.0,0.5458,0.06697,0.03684,-14.28814,0.0281,1.16963,0.44815,-509.4322,0.40528,3.80275,3.795,103.22918,-0.26615,4.44782,6.0,2.16,65279.53,1.8,3.67,-244072.01,2.29,2.06,3.68,0.13,5.28,27.08,1.915
10,AAL,2020,-8051000000.0,32593000000.0,-10254000000.0,0.3117,-0.60108,-0.51249,1.29387,-0.14329,1.15408,0.66962,-10.02985,0.52563,-18.36169,-18.36169,35.82854,-14.1913,-21.19085,2.0,-3.49,63543.58,1.2,8.31,725723.97,-3.41,1.55,8.11,-0.02,3.54,12.86,0.3843
11,AAP,2010,749370000.0,301824000.0,853497000.0,0.49978,0.09872,0.0584,0.33294,0.10317,2.46638,1.14947,2.22715,0.08998,4.02004,3.97055,68.83208,12.07423,9.91493,5.0,2.56,48466.66,1.6,9.63,178952.99,2.71,1.69,9.61,0.44,3.25,59.22,0.0
12,AAP,2011,840591000.0,415984000.0,1001269000.0,0.49742,0.10771,0.06396,0.46547,0.10796,2.5369,1.04842,3.31147,0.11379,5.21928,5.12102,81.59828,11.21283,13.2408,5.0,1.55,49882.56,3.2,8.95,123357.0,1.55,3.09,8.93,0.59,3.25,57.84,-0.0233
13,AAP,2012,846859000.0,605088000.0,903410000.0,0.49928,0.10593,0.06248,0.3202,0.08402,2.33036,1.244,2.81088,0.13115,5.30394,5.2344,84.89421,16.5642,12.36007,6.0,2.25,51602.93,2.1,8.07,239066.01,2.28,1.82,8.08,0.63,3.25,68.53,0.1572
